Hora,Iluminacao_kWh,ArCond_kWh,Computadores_kWh,Outros_kWh
0,0.2,0.4,0.1,0.1
1,0.2,0.4,0.1,0.1
2,0.2,0.4,0.1,0.1
3,0.2,0.3,0.1,0.1
4,0.2,0.3,0.1,0.1
5,0.3,0.5,0.2,0.1
6,0.5,0.8,0.4,0.2
7,0.7,1.0,0.7,0.3
8,0.9,1.3,1.0,0.5
9,1.0,1.5,1.2,0.5
10,1.1,1.6,1.3,0.6
11,1.2,1.8,1.5,0.6
12,1.3,2.0,1.6,0.7
13,1.2,1.9,1.6,0.7
14,1.1,1.8,1.4,0.6
15,1.0,1.7,1.3,0.6
16,0.9,1.6,1.1,0.5
17,0.8,1.4,1.0,0.4
18,0.7,1.3,0.9,0.4
19,0.6,1.1,0.7,0.3
20,0.4,0.9,0.5,0.2
21,0.3,0.7,0.3,0.2
22,0.2,0.5,0.2,0.1
23,0.2,0.5,0.1,0.1
